"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"147","Autonomous Mechanical Projectile Launcher","17.837606837606838","cool project hand-tracking mechanical shooting  | "
"155","UMass Duck Defense","16.675213675213673","Duck shooting game by placing towers | The score is only if you consider for UI/UX category. | "
"41","USocial","16.504273504273502","Social platform to fund unaffiliated events and creat new ones | "
"94","SAPient","15.726495726495727",""
"148","Truth Lens","15.059829059829061",""
"91","Sam the Minuteman discord bot","13.17094017094017",""
"132","StockSense","12.675213675213675","Simple OpenAI wrapper for stock analysis  | "
"149","Swarmy","12.059829059829061",""
"35","Handcut","11.666666666666666","Missing  | "
"61","Modista","11.666666666666666",""
"104","World Map Game","11.34188034188034","Geoguesser simplified | "
"115","Coffee Tabletop RPG","8.333333333333334","Missing  | "
"28","SAD Radio Swarm","8.008547008547009",""
"30","Catnap","7.17094017094017","Missing | "
"32","Struct","7.17094017094017",""
"112","ZeroByte","7.17094017094017",""
"8","RoomMingle","6.666666666666667","Missing  | "
"9","Sentiment Analysis from Text","6.666666666666667","Missing | "
"10","Dinosaur game","6.666666666666667","1 | "
"66","Jousting Bots","6.666666666666667",""
"68","little walking dude","6.666666666666667",""
"120","wizard wizard!!","6.666666666666667",""
"92","TUI file browser","5.504273504273503",""
"142","Dungeon Crawler","5.504273504273503",""
"144","PartyRank","5.504273504273503",""
"21","Stock Market Prediction using Sentiment analysis","5.0","Missing | "
"40","Legal-Ease","5.0",""
"59","Practice Exam Generator (PEG)","5.0",""
"62","FriendZone","5.0",""
"74","Muslim GPT","5.0","Missing  | "
"119","reSearch","5.0",""
"122","Librarian","5.0",""
"15","dewy","4.170940170940171",""
"16","Soccer Score Predictor","4.170940170940171",""
"157","Black Line Follower","4.170940170940171","No one present, no table setup  | "
"158","Expenser","4.170940170940171","No one present, no table setup  | "
"5","Random Flag Generator","3.837606837606837",""
"20","Project Saturn","3.3333333333333335","Missing | "
"43","Good Luck Umass","3.3333333333333335",""
"44","ML and Finance","3.3333333333333335",""
"126","Light Up The World","3.3333333333333335",""
"153","MechArm","3.3333333333333335","Missing | "
"161","3D Object Scanner","3.3333333333333335","Missing  | No one present, no table setup  | "
"78","Global Volunteer Tracker","2.5042735042735043",""
"12","EvoSim","1.6666666666666667","Missing  | "
"129","Plant Watering Indicator","1.6666666666666667",""
